0.865,0.859,0.870,0.884,0.861,0.863,0.867,0.866,0.857,0.886
0.865,0.825,0.862,0.886,0.800,0.868,0.851,0.849,0.869,0.873
0.882,0.872,0.872,0.860,0.861,0.842,0.871,0.860,0.884,0.877
0.875,0.808,0.868,0.873,0.861,0.864,0.875,0.835,0.867,0.858
0.870,0.878,0.885,0.875,0.858,0.871,0.874,0.819,0.876,0.859
0.882,0.881,0.866,0.850,0.862,0.832,0.851,0.864,0.847,0.892
0.857,0.870,0.866,0.866,0.858,0.843,0.866,0.864,0.866,0.887
0.862,0.864,0.860,0.847,0.805,0.859,0.847,0.824,0.853,0.897
0.882,0.855,0.877,0.872,0.816,0.859,0.879,0.870,0.851,0.886
0.828,0.850,0.849,0.883,0.855,0.855,0.861,0.862,0.851,0.854
0.869,0.876,0.826,0.871,0.844,0.863,0.860,0.875,0.825,0.889
0.870,0.872,0.869,0.871,0.861,0.856,0.860,0.873,0.873,0.885
0.886,0.810,0.876,0.863,0.827,0.859,0.842,0.882,0.848,0.883
0.869,0.843,0.852,0.869,0.862,0.868,0.869,0.872,0.857,0.903
